[error] [2022-09-03 14:55:38,193] [Process:13370] - command invalid! example: ./ChatClient 127.0.0.1 6000
[error] [2022-09-03 15:19:17,065] [Process:16566] - connect server error!
[error] [2022-09-03 15:20:11,403] [Process:16733] - invalid input
[error] [2022-09-03 15:20:49,199] [Process:16595] - >>>>>>>>>>>>> observer_channel_message quit <<<<<<<<<<<<<
[error] [2022-09-03 15:20:49,212] [Process:16733] - id or password is invalid!
[error] [2022-09-03 15:25:26,470] [Process:16595] - unsubscribe command failed!
[error] [2022-09-03 15:33:20,783] [Process:19293] - >>>>>>>>>>>>> observer_channel_message quit <<<<<<<<<<<<<
[error] [2022-09-03 15:33:20,797] [Process:19293] - connect mysql fail! Can't connect to MySQL server on '127.0.0.1:3306' (111)
[error] [2022-09-03 15:33:20,806] [Process:19355] - name is already exist, register error!
[error] [2022-09-03 15:34:38,190] [Process:19293] - unsubscribe command failed!
[error] [2022-09-03 15:34:54,813] [Process:19890] - >>>>>>>>>>>>> observer_channel_message quit <<<<<<<<<<<<<
[error] [2022-09-03 15:38:49,670] [Process:19890] - unsubscribe command failed!
[error] [2022-09-03 15:46:31,120] [Process:22441] - >>>>>>>>>>>>> observer_channel_message quit <<<<<<<<<<<<<
[error] [2022-09-03 15:46:31,265] [Process:22441] - insert into user(name, password, state) values('dyp', '123456', 'offline') 更新失败! Duplicate entry 'dyp' for key 'user.name'
[error] [2022-09-03 15:46:31,274] [Process:22489] - name is already exist, register error!
[error] [2022-09-03 15:47:12,123] [Process:22441] - subscribe command failed!
[error] [2022-09-03 15:48:46,501] [Process:22441] - unsubscribe command failed!
[error] [2022-09-03 15:48:51,173] [Process:22489] - invalid input
[error] [2022-09-03 15:48:52,829] [Process:22441] - unsubscribe command failed!
[error] [2022-09-03 15:49:12,395] [Process:22441] - unsubscribe command failed!
[error] [2022-09-03 15:49:33,978] [Process:23284] - id or password is invalid!
[error] [2022-09-03 15:49:45,515] [Process:22441] - subscribe command failed!
[error] [2022-09-03 15:50:56,545] [Process:23810] - id or password is invalid!
[error] [2022-09-03 15:50:56,546] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,547] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,547] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,548] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,548] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,548] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,549] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,549] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,549] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,550] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,550] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,550] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,551] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,551] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,551] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,552] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,552] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,552] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,553] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,553] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,553] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,553] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,554] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,554] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,554] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,554] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,555] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,555] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,555] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,556] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,556] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,556] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,556] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,557] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,557] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,557] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,558] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,558] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,559] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,559] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,559] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,560] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,560] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,560] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,561] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,561] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,561] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,562] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,562] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,563] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,563] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,564] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,564] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,564] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,565] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,565] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,565] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,566] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,566] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,566] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,567] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,567] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,567] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,568] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,568] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,568] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,569] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,569] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,569] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,569] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,570] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,570] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,570] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,571] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,571] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,571] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,572] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,572] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,572] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,573] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,573] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,574] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,574] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,574] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,575] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,575] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,575] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,575] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,576] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,576] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,576] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,577] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,577] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,577] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,577] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,578] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,578] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,579] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,579] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,579] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,580] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,580] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,581] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,581] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,581] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,582] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,582] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,582] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,583] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,583] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,584] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,584] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,584] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,584] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,585] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,585] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,586] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,586] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,586] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,587] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,587] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,587] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,588] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,588] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,588] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,589] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,589] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,589] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,590] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,590] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,591] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,591] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,591] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,592] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,592] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,592] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,592] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,593] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,593] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,593] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,594] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,594] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,595] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,595] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,595] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,596] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,596] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,596] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,597] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,597] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,597] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,598] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,598] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,598] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,599] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,599] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,599] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,600] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,600] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,600] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,601] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,601] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,601] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,602] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,602] [Process:23810] - invalid input
